CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.05       0.05       0.00       0.05
depend-fp              0.18       0.24       0.00       0.21
branch                 0.10       0.07       0.21       0.08
mem-l1d                0.04       0.03       0.00       0.03
sync-unscheduled        1.20       1.36      10.09       1.38
imbalance-start        0.00       0.29       0.00       0.00
imbalance-end          0.00       0.07       0.13       0.06
other                  0.04       0.02       0.15       0.02

total                  1.85       2.38      10.83       2.09
