CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.15       0.25       0.25       0.25
depend-int             0.07       0.05       0.05       0.05
depend-fp              0.00       0.24       0.23       0.24
depend-branch          0.07       0.00       0.00       0.00
issue                  0.05       0.00       0.00       0.00
branch                 0.83       0.09       0.08       0.08
mem-l1d                0.13       0.03       0.03       0.03
sync-futex             1.24       0.00       0.00       0.00
imbalance-start        0.00       1.00       1.00       1.00
imbalance-end          0.00       0.27       0.29       0.29
other                  0.01       0.02       0.02       0.02

total                  3.56       1.96       1.96       1.96
