CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.43       0.54       0.55       0.55
depend-int             0.06       0.07       0.06       0.07
depend-fp              0.00       0.31       0.31       0.31
depend-branch          0.05       0.00       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.38       0.15       0.13       0.13
mem-l1d                0.10       0.04       0.04       0.04
sync-futex             2.09       0.00       0.00       0.00
sync-unscheduled        0.00       0.47       0.47       0.47
dvfs-transition        0.00       0.02       0.02       0.00
imbalance-end          0.00       0.12       0.14       0.15
other                  0.03       0.03       0.02       0.04

total                  3.18       1.75       1.75       1.75
