CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       1.82       1.81       0.00
depend-int             0.00       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.23       0.32       0.32       0.00
mem-l1d                0.00       0.05       0.05       0.00
sync-futex             7.30       0.00       0.00       0.00
sync-unscheduled        0.00       0.19       0.19       0.00
imbalance-end          0.00       0.05       0.07   395711785.00
other                  0.17       0.03       0.03    8000.00

total                  7.94       2.91       2.91   395719785.00
