CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.66       0.69       0.00       0.00
depend-int             0.07       0.07       0.00       0.00
depend-fp              0.25       0.30       0.00       0.00
branch                 0.22       0.17       0.00       0.00
mem-l1d                0.06       0.05       0.00       0.00
sync-unscheduled        1.13       1.55       0.00       0.00
imbalance-end          0.00       0.00     278.97   423379632.00
other                  0.05       0.06       5.37    8000.00

total                  2.44       2.88     284.35   423387632.00
