CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.38       0.38       0.00
depend-int             0.00       0.02       0.02       0.00
depend-fp              0.00       0.28       0.27       0.00
depend-branch          0.00       0.00       0.01       0.00
issue-port2            0.00       0.06       0.06       0.00
branch                 0.00       0.06       0.06       0.00
mem-l1d                0.00       0.01       0.01       0.00
mem-l3                 0.00       0.30       0.30       0.00
sync-futex            58.33       0.00       0.00       0.00
sync-unscheduled        0.00       0.01       0.01       0.00
imbalance-end          0.00       0.00       0.00   688763502.93
other                  0.74       0.03       0.02    8000.00

total                 59.07       1.14       1.14   688771502.93
