CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.14       0.71       0.71       0.00
depend-int             0.07       0.07       0.07       0.00
depend-fp              0.00       0.32       0.32       0.00
depend-branch          0.07       0.00       0.00       0.00
branch                 0.83       0.14       0.14       0.00
mem-l1d                0.13       0.04       0.04       0.00
sync-futex             3.59       0.00       0.00       0.00
sync-unscheduled        0.00       0.67       0.67       0.00
imbalance-end          0.00       0.18       0.19   294516546.00
other                  0.07       0.03       0.03    8000.00

total                  5.91       2.16       2.16   294524546.00
