CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.27       0.27       0.58       0.58
depend-int             0.06       0.06       0.09       0.09
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.03       0.03       0.04       0.04
issue-port015          0.02       0.02       0.03       0.03
branch                 0.13       0.13       0.22       0.22
ifetch                 0.08       0.08       0.14       0.14
mem-l1d                0.08       0.08       0.12       0.12
mem-l3                 0.02       0.02       0.00       0.00
mem-dram               0.04       0.04       0.04       0.04
sync-unscheduled        0.70       0.70       1.43       1.43
other                  0.01       0.01       0.07       0.07

total                  1.46       1.46       2.78       2.78
