CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend                 0.07       0.00       0.00       0.00
depend-int             0.00       0.05       0.00       0.00
depend-fp              0.00       0.23       0.00       0.00
depend-branch          0.00       0.01       0.00       0.00
issue                  0.00       0.01       0.00       0.00
branch                 0.23       0.08       0.00       0.00
mem-l1d                0.06       0.03       0.00       0.00
sync-futex             3.61       0.00       0.00       0.00
imbalance-start        0.00       0.10       0.00       0.00
imbalance-end          0.00       0.02   212414074.00   212414074.00
other                  0.04       0.00       0.00       0.00

total                  4.26       0.78   212414074.00   212414074.00
