CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.48       1.54       1.54       1.12
depend                 0.14       0.00       0.00       0.00
depend-int             0.00       0.11       0.11       0.00
depend-fp              0.00       0.17       0.17       0.00
issue                  0.00       0.04       0.04       0.00
branch                 0.00       0.16       0.16       0.00
ifetch                 0.00       0.06       0.06       0.00
mem-l1d                0.00       0.08       0.08       0.00
mem-l2                 0.00       0.02       0.00       0.00
mem-l3                 0.00       0.04       0.04       0.00
sync-futex            12.72       0.23       0.22       0.00
imbalance-end          0.00       0.00       0.00      52.12
other                  0.23       0.02       0.05       0.51

total                 13.57       2.46       2.46      53.76
