CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.48       0.63       0.63       0.64
depend-int             0.06       0.07       0.07       0.07
depend-fp              0.00       0.32       0.32       0.32
depend-branch          0.06       0.00       0.00       0.00
issue                  0.04       0.00       0.00       0.00
branch                 0.43       0.16       0.14       0.14
mem-l1d                0.11       0.04       0.04       0.04
sync-futex             2.30       0.00       0.00       0.00
sync-unscheduled        0.00       0.52       0.52       0.52
dvfs-transition        0.00       0.02       0.00       0.00
imbalance-end          0.00       0.14       0.16       0.16
other                  0.03       0.03       0.04       0.04

total                  3.50       1.93       1.92       1.92
