CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.00       0.00
depend-int             0.05       0.05       0.00       0.00
depend-branch          0.04       0.04       0.00       0.00
issue                  0.03       0.00       0.00       0.00
branch                 0.43       0.45       0.00       0.00
mem-l1d                0.06       0.06       0.00       0.00
mem-l3                 0.35       0.30       0.00       0.00
mem-dram               0.60       0.29       0.00       0.00
sync-unscheduled        1.37       1.52       0.00       0.00
imbalance-end          0.00       0.53   2721131981.00   2721131981.00
other                  0.04       0.07    8000.00    8000.00

total                  3.23       3.56   2721139981.00   2721139981.00
