CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.11       0.62       0.62       0.48
depend-int             0.00       0.09       0.09       0.00
depend-fp              0.09       0.15       0.15       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.14       0.08       0.08       0.00
ifetch                 0.00       0.03       0.03       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.07       0.07       0.00
mem-l2                 0.00       0.02       0.02       0.00
mem-l3                 0.00       0.03       0.02       0.00
sync-futex             6.41       0.32       0.32       0.00
imbalance-end          0.00       0.00       0.00      30.81
other                  0.18       0.03       0.03       0.47

total                  8.02       1.45       1.45      31.76
