CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.64       0.64       1.42       1.42
depend-int             0.09       0.09       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.25       0.24       0.41       0.42
ifetch                 0.15       0.15       0.32       0.31
mem                    0.00       0.00       0.25       0.24
mem-l1d                0.13       0.13       0.00       0.00
mem-dram               0.03       0.03       0.00       0.00
sync-unscheduled        0.22       0.22      12.47      12.43
imbalance-end          0.00       0.00       4.23       4.21
other                  0.03       0.03       0.23       0.23

total                  1.65       1.65      19.34      19.26
