CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.64       0.74       0.74       0.65
depend-int             0.00       0.10       0.10       0.00
depend-fp              0.09       0.15       0.15       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.00       0.08       0.08       0.00
ifetch                 0.00       0.03       0.03       0.00
mem-l1d                0.00       0.07       0.07       0.00
mem-l2                 0.00       0.02       0.02       0.00
mem-l3                 0.00       0.03       0.03       0.00
sync-futex             7.33       0.23       0.23       0.00
imbalance-end          0.00       0.00       0.00      31.95
other                  0.32       0.04       0.04       0.57

total                  8.37       1.52       1.52      33.17
