CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.34       0.34       0.34       0.34
depend-int             0.08       0.08       0.08       0.08
depend-branch          0.02       0.02       0.02       0.02
issue-port2            0.03       0.03       0.03       0.03
issue-port015          0.03       0.03       0.03       0.03
branch                 0.16       0.16       0.16       0.16
ifetch                 0.12       0.12       0.12       0.12
mem-l1d                0.10       0.10       0.10       0.10
mem-l3                 0.01       0.01       0.01       0.01
mem-dram               0.07       0.07       0.07       0.07
other                  0.01       0.01       0.01       0.01

total                  0.96       0.96       0.96       0.96
