CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.64       0.64       0.00       0.00
depend-int             0.10       0.09       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.24       0.24       0.00       0.00
ifetch                 0.16       0.16       0.00       0.00
mem-l1d                0.13       0.13       0.00       0.00
mem-dram               0.04       0.03       0.00       0.00
imbalance-end          0.00       0.00   1023914390.23   1023938390.23
other                  0.03       0.03   32000.00    8000.00

total                  1.43       1.43   1023946390.23   1023946390.23
