CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.52       0.64       0.60       0.62
depend-int             0.00       0.09       0.09       0.09
depend-branch          0.00       0.03       0.00       0.00
issue                  0.00       0.00       0.00       0.09
issue-port2            0.00       0.04       0.05       0.00
issue-port015          0.00       0.03       0.03       0.00
branch                 0.00       0.26       0.19       0.16
ifetch                 0.15       0.14       0.17       0.20
mem-l1d                0.00       0.13       0.11       0.11
mem-l3                 0.00       0.02       0.02       0.00
mem-dram               0.14       0.02       0.00       0.00
sync-futex            12.63       0.00       0.83       1.19
sync-unscheduled        0.00       0.05       0.08       0.18
imbalance-end          0.00       0.15       0.00       2.70
other                  0.34       0.03       0.07       0.08

total                 13.78       1.63       2.25       5.41
