CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.49       0.00       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.09       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.53       0.00       0.00       0.00
mem-l1d                0.13       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       1.12       1.12       0.00
mem-dram               0.55       0.68       0.68       0.00
sync-futex             0.29       0.00       0.00       0.00
sync-unscheduled        0.00      36.91      36.92       0.00
imbalance-end          0.00       5.40       5.40   6301210924.01
other                  0.02       0.96       0.96    8000.00

total                  4.75      45.08      45.09   6301218924.01
