CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.54       0.54       0.54
depend-int             0.00       0.06       0.06       0.06
depend-fp              0.00       0.20       0.20       0.20
depend-branch          0.00       0.02       0.02       0.02
issue-port2            0.00       0.02       0.02       0.02
issue-port015          0.00       0.01       0.01       0.01
branch                 0.00       0.12       0.12       0.12
mem-l1d                0.00       0.08       0.08       0.08
sync-futex           154.30       0.00       0.00       0.00
imbalance-end          0.00       0.21       0.21       0.00
other                  1.43       0.03       0.03       0.02

total                155.72       1.29       1.29       1.07
