CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.68       0.68       0.00       0.00
depend-int             0.07       0.07       0.00       0.00
depend-fp              0.27       0.27       0.00       0.00
branch                 0.20       0.21       0.00       0.00
mem-l1d                0.05       0.06       0.00       0.00
sync-unscheduled        1.32       1.29       0.00       0.00
imbalance-end          0.00       0.00   423140336.00   423140336.00
other                  0.06       0.04    8000.00    8000.00

total                  2.65       2.61   423148336.00   423148336.00
