CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.30       0.44       0.44       0.00
depend-int             0.00       0.13       0.13       0.00
depend-fp              0.00       0.15       0.16       0.00
depend-branch          0.00       0.09       0.09       0.00
issue                  0.00       0.02       0.02       0.00
branch                 0.00       0.50       0.50       0.00
mem                    0.10       0.00       0.00       0.00
mem-l1d                0.00       0.15       0.15       0.00
sync-futex             6.12       0.00       0.00       0.00
sync-unscheduled        0.00       0.07       0.07       0.00
imbalance-end          0.00       0.05       0.05   1082418617.45
other                  0.11       0.02       0.02    8000.00

total                  6.63       1.64       1.64   1082426617.45
