CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.52       0.72       0.00       0.00
depend                 0.12       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.00
depend-fp              0.00       0.32       0.00       0.00
branch                 0.44       0.16       0.00       0.00
mem-l1d                0.11       0.04       0.00       0.00
sync-futex             7.33       0.00       0.00       0.00
sync-unscheduled        0.00       0.18       0.00       0.00
imbalance-end          0.00       0.05   427747320.91   427747320.91
other                  0.06       0.03    8000.00    8000.00

total                  8.58       1.57   427755320.91   427755320.91
