CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.11       0.35       0.35       0.31
depend-int             0.07       0.08       0.08       0.00
depend-fp              0.09       0.12       0.12       0.00
issue                  0.07       0.00       0.00       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.14       0.05       0.05       0.00
ifetch                 0.00       0.02       0.02       0.00
mem                    0.08       0.00       0.00       0.00
mem-l1d                0.00       0.06       0.06       0.00
mem-l2                 0.00       0.01       0.01       0.00
mem-l3                 0.00       0.02       0.03       0.00
sync-futex             4.34       0.31       0.31       0.00
imbalance-end          0.00       0.00       0.00      22.84
other                  0.03       0.03       0.03       0.42

total                  5.95       1.08       1.08      23.57
