CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.49       1.82       0.00       0.00
depend-int             0.00       0.08       0.00       0.00
depend-fp              0.00       0.37       0.00       0.00
branch                 0.43       0.32       0.00       0.00
mem-l1d                0.00       0.05       0.00       0.00
sync-futex            14.55       0.00       0.00       0.00
sync-unscheduled        0.00       0.17       0.00       0.00
imbalance-end          0.00       0.05   785197112.00   785197112.00
other                  0.29       0.03    8000.00    8000.00

total                 15.75       2.88   785205112.00   785205112.00
