                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49847226 |   90707773 |   90731574 |   90735381
  Cycles                             |  199675200 |  199675200 |  199675200 |  199675200
  IPC                                |       0.25 |       0.45 |       0.45 |       0.45
  Time (ns)                          |   49918800 |   49918800 |   49918800 |   49918800
  Idle time (ns)                     |   33247060 |   17118520 |   17690887 |   17878368
  Idle time (%)                      |      66.6% |      34.3% |      35.4% |      35.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    8269988 |    5179427 |    5196390 |    5194575
  num incorrect                      |     518878 |     145233 |     128870 |     130423
  misprediction rate                 |      5.90% |      2.73% |      2.42% |      2.45%
  mpki                               |      10.41 |       1.60 |       1.42 |       1.44
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573184 |   10137463 |   10140663 |   10144742
    num misses                       |        122 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17195339 |   26678848 |   26683048 |   26684109
    num misses                       |        410 |         73 |         75 |         93
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        532 |         98 |        100 |        118
    num misses                       |        301 |         92 |         92 |        101
    miss rate                        |     56.58% |     93.88% |     92.00% |     85.59%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573184 |   10137463 |   10140663 |   10144742
    num cache misses                 |       2405 |        153 |        153 |        152
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17195339 |   26678848 |   26683048 |   26684109
    num cache misses                 |      11050 |      81898 |      83296 |      81196
    miss rate                        |      0.06% |      0.31% |      0.31% |      0.30%
    mpki                             |       0.22 |       0.90 |       0.92 |       0.89
  Cache L2                           |            |            |            |           
    num cache accesses               |      13547 |      82056 |      83449 |      81349
    num cache misses                 |      10213 |       1291 |       1392 |       1305
    miss rate                        |     75.39% |      1.57% |      1.67% |      1.60%
    mpki                             |       0.20 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      10308 |       1296 |       1392 |       1306
    num cache misses                 |       8717 |        265 |        200 |        225
    miss rate                        |     84.57% |     20.45% |     14.37% |     17.23%
    mpki                             |       0.17 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9404 |          0 |          0 |          0
  average dram access latency (ns)   |      68.11 |        inf |        inf |        inf
  average dram queueing delay        |      14.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2515 |        196 |        170 |        174
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
