CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.49       0.25       0.00       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.09       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.52       0.00       0.00       0.00
mem-l1d                0.13       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       0.75       0.00       0.00
mem-dram               0.55       0.52       0.00       0.00
sync-futex             0.40       0.00       0.00       0.00
imbalance-start        0.00      18.47       0.00       0.00
imbalance-end          0.00       2.70   6436959463.00   6436959463.00
other                  0.02       0.37       0.00       0.00

total                  4.85      23.06   6436959463.00   6436959463.00
