CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.49       1.83       1.82       0.00
depend                 0.12       0.00       0.00       0.00
depend-int             0.00       0.08       0.08       0.00
depend-fp              0.00       0.37       0.37       0.00
branch                 0.41       0.33       0.33       0.00
mem-l1d                0.10       0.05       0.05       0.00
sync-futex             7.34       0.00       0.00       0.00
sync-unscheduled        0.00       0.34       0.34       0.00
imbalance-end          0.00       0.09       0.10   424535896.00
other                  0.06       0.03       0.03    8000.00

total                  8.52       3.12       3.12   424543896.00
