CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.79       0.81       0.81       0.70
depend                 0.16       0.00       0.00       0.00
depend-int             0.00       0.10       0.10       0.00
depend-fp              0.00       0.15       0.15       0.00
issue-port015          0.00       0.02       0.02       0.00
branch                 0.14       0.10       0.10       0.00
ifetch                 0.00       0.04       0.04       0.00
mem-l1d                0.00       0.08       0.07       0.00
mem-l2                 0.00       0.02       0.02       0.00
mem-l3                 0.00       0.04       0.04       0.00
sync-futex             7.95       0.28       0.27       0.00
imbalance-end          0.00       0.00       0.00      35.33
other                  0.18       0.05       0.05       0.53

total                  9.22       1.67       1.67      36.56
