CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.46       0.46       0.57       0.57
depend-int             0.09       0.09       0.09       0.09
depend-branch          0.02       0.02       0.00       0.00
issue                  0.00       0.00       0.08       0.08
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.20       0.20       0.19       0.19
ifetch                 0.12       0.12       0.17       0.17
mem-l1d                0.12       0.12       0.12       0.12
mem-dram               0.03       0.03       0.00       0.00
sync-unscheduled        0.28       0.28       5.44       5.43
other                  0.03       0.03       0.12       0.11

total                  1.42       1.42       6.78       6.77
