CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.48       0.68       0.68       0.00
depend-int             0.09       0.00       0.00       0.00
depend-branch          0.09       0.00       0.00       0.00
issue                  0.07       0.00       0.00       0.00
branch                 1.52       0.00       0.00       0.00
mem-l1d                0.13       0.00       0.00       0.00
mem-l2                 0.06       0.00       0.00       0.00
mem-l3                 0.43       1.25       1.25       0.00
mem-dram               0.55       0.72       0.72       0.00
sync-futex             0.35       0.00       0.00       0.00
sync-unscheduled        0.00      36.83      36.82       0.00
imbalance-end          0.00       5.40       5.40   6363474524.00
other                  0.02       0.66       0.66    8000.00

total                  4.80      45.54      45.53   6363482524.00
