CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       0.39       0.39       0.00
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
branch                 0.66       0.00       0.00       0.00
mem-l1d                0.09       0.00       0.00       0.00
mem-l2                 0.03       0.00       0.00       0.00
mem-l3                 0.27       1.12       1.12       0.00
mem-dram               0.48       0.68       0.68       0.00
sync-futex             0.29       0.00       0.00       0.00
sync-unscheduled        0.00      15.98      15.98       0.00
imbalance-end          0.00       3.77       3.77   3147389019.65
other                  0.03       0.57       0.57    8000.00

total                  2.37      22.52      22.52   3147397019.65
