CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.45       0.52       0.48       0.46
depend-int             0.00       0.09       0.08       0.08
depend-branch          0.00       0.02       0.02       0.00
issue                  0.00       0.00       0.00       0.08
issue-port2            0.00       0.04       0.05       0.00
issue-port015          0.00       0.03       0.03       0.00
branch                 0.00       0.23       0.16       0.12
ifetch                 0.14       0.12       0.14       0.16
mem-l1d                0.00       0.12       0.11       0.10
mem-l3                 0.00       0.02       0.02       0.00
mem-dram               0.13       0.02       0.00       0.00
sync-futex            10.99       0.00       0.74       1.11
sync-unscheduled        0.00       0.04       0.08       0.17
dvfs-transition        0.00       0.02       0.02       0.00
imbalance-end          0.00       0.14       0.00       2.35
other                  0.33       0.01       0.03       0.10

total                 12.04       1.43       1.97       4.73
