CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.58       0.58       0.00       0.00
depend-int             0.09       0.09       0.00       0.00
depend-branch          0.02       0.02       0.00       0.00
issue-port2            0.04       0.04       0.00       0.00
issue-port015          0.03       0.03       0.00       0.00
branch                 0.23       0.23       0.00       0.00
ifetch                 0.15       0.15       0.00       0.00
mem-l1d                0.13       0.13       0.00       0.00
mem-dram               0.04       0.04       0.00       0.00
imbalance-end          0.00       0.00   948598338.00   948598338.00
other                  0.03       0.03    8000.00    8000.00

total                  1.33       1.33   948606338.00   948606338.00
