CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.36       1.58       0.00       0.00
depend                 0.00       0.25       0.00       0.00
depend-int             0.07       0.00       0.00       0.00
depend-branch          0.07       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
branch                 0.66       0.45       0.00       0.00
mem-l1d                0.09       0.00       0.00       0.00
mem-l3                 0.27       1.68       0.00       0.00
mem-dram               0.48       0.85       0.00       0.00
sync-futex             1.06       0.00       0.00       0.00
sync-unscheduled        0.00       8.03       0.00       0.00
imbalance-end          0.00       1.89   4177596463.18   4177596463.18
other                  0.05       0.22    8000.00    8000.00

total                  3.15      14.96   4177604463.18   4177604463.18
