CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.34       0.00       0.00       0.00
depend-int             0.08       0.00       0.00       0.00
depend-branch          0.02       0.00       0.00       0.00
issue-port2            0.03       0.00       0.00       0.00
issue-port015          0.03       0.00       0.00       0.00
branch                 0.15       0.00       0.00       0.00
ifetch                 0.11       0.00       0.00       0.00
mem-l1d                0.10       0.00       0.00       0.00
mem-l2                 0.01       0.00       0.00       0.00
mem-l3                 0.02       0.00       0.00       0.00
imbalance-end          0.00   629190640.00   629190640.00   629190640.00
other                  0.01    8000.00    8000.00    8000.00

total                  0.88   629198640.00   629198640.00   629198640.00
