CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.43       0.43       0.00       0.00
depend-int             0.13       0.12       0.00       0.00
depend-fp              0.15       0.13       0.00       0.00
depend-branch          0.09       0.08       0.00       0.00
issue                  0.00       0.03       0.00       0.00
branch                 0.48       0.44       0.00       0.00
mem-l1d                0.14       0.14       0.00       0.00
sync-unscheduled        1.51       1.35       0.00     144.26
imbalance-end          0.03       0.00   2041976054.44       0.00
other                  0.05       0.02    8000.00       1.86

total                  3.00       2.74   2041984054.44     146.11
