CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.00       0.00
depend-int             0.00       0.01       0.00       0.00
depend-fp              0.00       0.24       0.00       0.00
depend-branch          0.00       0.01       0.00       0.00
issue-port2            0.00       0.04       0.00       0.00
branch                 0.00       0.05       0.00       0.00
mem-l1d                0.00       0.01       0.00       0.00
mem-l3                 0.00       0.19       0.00       0.00
sync-futex            82.61       0.00       0.00       0.00
imbalance-end          0.00       0.00   970602691.00   970602691.00
other                  0.65       0.02       0.00       0.00

total                 83.26       0.82   970602691.00   970602691.00
