CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.00       0.25       0.25       0.25
depend-int             0.00       0.04       0.04       0.04
depend-fp              0.00       0.15       0.15       0.15
issue                  0.00       0.03       0.03       0.03
branch                 0.00       0.07       0.07       0.07
mem-l1d                0.00       0.06       0.06       0.06
sync-futex           239.12       0.00       0.00       0.00
sync-unscheduled        0.00       1.21       1.24       1.25
imbalance-end          0.00       0.03       0.00       0.00
other                  1.40       0.03       0.03       0.02

total                240.51       1.86       1.87       1.87
