CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       1.82       0.00       0.00
depend-int             0.00       0.08       0.00       0.00
depend-fp              0.00       0.37       0.00       0.00
branch                 0.23       0.32       0.00       0.00
mem-l1d                0.00       0.05       0.00       0.00
sync-futex            14.54       0.00       0.00       0.00
sync-unscheduled        0.00       0.10       0.00       0.00
imbalance-end          0.00       0.00   757347112.00   757347112.00
other                  0.17       0.05    8000.00    8000.00

total                 15.19       2.78   757355112.00   757355112.00
