CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.46       0.72       0.72       0.00
depend-int             0.06       0.07       0.07       0.00
depend-fp              0.00       0.33       0.32       0.00
depend-branch          0.06       0.00       0.00       0.00
branch                 0.41       0.17       0.16       0.00
mem-l1d                0.10       0.04       0.04       0.00
sync-futex             3.71       0.00       0.00       0.00
sync-unscheduled        0.00       0.32       0.32       0.00
imbalance-end          0.00       0.10       0.10   242263561.21
other                  0.06       0.03       0.03    8000.00

total                  4.86       1.78       1.78   242271561.21
