CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.26       0.25       0.00       0.00
depend-int             0.10       0.11       0.00       0.00
depend-fp              0.12       0.13       0.00       0.00
depend-branch          0.07       0.07       0.00       0.00
issue                  0.03       0.03       0.00       0.00
branch                 0.34       0.35       0.00       0.00
mem-l1d                0.12       0.12       0.00       0.00
sync-unscheduled        1.03       1.14       0.00     135.04
imbalance-end          0.04       0.00     119.16       0.00
other                  0.02       0.02       1.57       1.93

total                  2.13       2.23     120.73     136.98
