CPI                  Core 0     Core 1     Core 2     Core 3   
base                   1.15       0.71       0.00       0.00
depend                 0.15       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.00
depend-fp              0.00       0.32       0.00       0.00
branch                 0.82       0.16       0.00       0.00
mem-l1d                0.13       0.04       0.00       0.00
sync-futex             7.27       0.00       0.00       0.00
sync-unscheduled        0.00       0.33       0.00       0.00
imbalance-end          0.00       0.09   478137432.00   478137432.00
other                  0.07       0.03    8000.00    8000.00

total                  9.59       1.76   478145432.00   478145432.00
